,sigma_garch11
2023-09-15,0.8011492537267508
2023-09-18,0.8008688907133268
2023-09-19,0.8651891724849265
2023-09-20,0.8414835794792698
2023-09-21,0.8530910868765476
2023-09-22,0.9540131714800801
2023-09-25,0.9050502433249885
2023-09-26,0.9343374054567332
2023-09-27,0.9566715068985998
2023-09-28,0.9117382009184852
2023-09-29,0.9047259190674621
2023-10-02,0.8754819727650189
2023-10-03,0.9011343078186675
2023-10-04,0.9439870913940962
2023-10-05,0.897013257441059
2023-10-06,0.8589642711446388
2023-10-09,0.9087688668663547
2023-10-10,0.8995082769770767
2023-10-11,1.1129545911616756
2023-10-12,1.0459809408775884
2023-10-13,0.9881741745750405
2023-10-16,1.0944351836975397
2023-10-17,1.0340797640456265
2023-10-18,0.9751046398466988
2023-10-19,0.9974792917130739
2023-10-20,0.9505523192860929
2023-10-23,1.0858165581342374
2023-10-24,1.0194815105540256
2023-10-25,0.9816058764398411
2023-10-26,0.9298720007220477
2023-10-27,0.9694966105567637
2023-10-30,0.9250666235552198
2023-10-31,0.8831829423313665
2023-11-01,0.8759874433836935
2023-11-02,0.8830400932251059
2023-11-03,0.9998813605997998
2023-11-06,0.9514396275131144
2023-11-07,0.9123906047391536
2023-11-08,0.8707660792749198
2023-11-09,0.8541969789970941
2023-11-10,0.8707958091437626
2023-11-13,0.8803442677722215
2023-11-14,0.8824859418396803
2023-11-15,1.0580050238885175
2023-11-16,1.0423775905585468
2023-11-17,0.9854489974333964
2023-11-20,0.9814059159299406
2023-11-21,0.9298684909576654
2023-11-22,0.8846315022793619
2023-11-23,0.8558458665175034
2023-11-24,0.8253220029218662
2023-11-27,0.7987005428076553
2023-11-28,0.7854568279384524
2023-11-29,0.7630298748354317
2023-11-30,0.8424794109589389
2023-12-01,0.816758559683563
2023-12-04,0.8886937793292957
2023-12-05,0.8488326703305689
2023-12-06,0.8637583678260506
2023-12-07,0.8713985178731242
2023-12-08,0.8360930030891598
2023-12-11,0.8533293206108187
2023-12-12,0.8220708088576832
2023-12-13,0.7918270460676589
2023-12-14,0.7680605569251613
2023-12-15,0.7462973662768514
2023-12-18,0.7270449231787048
2023-12-19,0.7447898489334577
2023-12-20,0.7545226513010848
2023-12-21,0.7339525127052161
2023-12-22,0.7228544969756655
2023-12-27,0.7074752800052764
2023-12-28,0.6976643861122802
2023-12-29,0.6903953404609281
2024-01-02,0.6873441004952443
2024-01-03,0.6766889386364154
2024-01-04,0.8418474960631321
2024-01-05,0.8251344871839796
2024-01-08,0.7942502391050418
2024-01-09,0.812337317752419
2024-01-10,0.7845505499972646
2024-01-11,0.7585797808017479
2024-01-12,0.8003758907632977
2024-01-15,0.8462659128888813
2024-01-16,0.8304213793143476
2024-01-17,0.805171120310929
2024-01-18,0.8347845878852594
2024-01-19,0.855069298127792
2024-01-22,0.81845625181478
2024-01-23,0.8348589833331385
2024-01-24,0.8101102272073183
2024-01-25,0.9648648460478322
2024-01-26,0.9142528264349044
2024-01-29,0.8775581067610452
2024-01-30,0.8391095562077462
2024-01-31,0.8078533921366078
2024-02-01,0.7917961732258992
2024-02-02,0.7698547515447879
2024-02-05,0.7558756196025598
2024-02-06,0.7335352899436415
2024-02-07,0.7654777208386908
2024-02-08,0.7781927978657642
2024-02-09,0.7574072756930924
2024-02-12,0.7378994442284968
2024-02-13,0.7554280763336818
2024-02-14,0.8053124412665452
2024-02-15,0.7871192189053501
2024-02-16,0.7891450020657728
2024-02-19,0.7752606944440518
2024-02-20,0.7506178115778243
2024-02-21,0.7296274043618464
2024-02-22,0.7170962664478909
2024-02-23,0.8787061483218894
2024-02-26,0.8440189033821961
2024-02-27,0.8079356533368622
2024-02-28,0.8240245192281033
2024-02-29,0.7961351181772479
2024-03-01,0.7822001547647456
2024-03-04,0.7634739213733734
2024-03-05,0.739214016774785
2024-03-06,0.7184184313813001
2024-03-07,0.7004760832999455
2024-03-08,0.731163645502157
2024-03-11,0.712316657027477
2024-03-12,0.7075564634278197
2024-03-13,0.8219068791114198
2024-03-14,0.7882288891419923
2024-03-15,0.7601868382917618
2024-03-18,0.7350136945001169
2024-03-19,0.7131443487407229
2024-03-20,0.7029312638508566
2024-03-21,0.687666227287192
2024-03-22,0.7493270537323073
2024-03-25,0.7269220266505392
2024-03-26,0.7142061404920346
2024-03-27,0.7362651112088574
2024-03-28,0.736653828763233
2024-04-02,0.7143721068000427
2024-04-03,0.8097490431261783
2024-04-04,0.7948169257746418
2024-04-05,0.7671961003546088
2024-04-08,0.8680990740292845
2024-04-09,0.8753678768868994
2024-04-10,0.9637212783654463
2024-04-11,0.9115559961535954
2024-04-12,0.9117110337039935
2024-04-15,0.8672892928730559
2024-04-16,0.8494084115341451
2024-04-17,0.966753643280501
2024-04-18,0.9142000545140699
2024-04-19,0.8789631445446677
2024-04-22,0.8616506941246815
2024-04-23,0.8594560139824604
2024-04-24,0.990518496883403
2024-04-25,0.9401032159288644
2024-04-26,0.955425559440612
2024-04-29,1.0281875575406187
2024-04-30,0.9713689082686487
2024-05-02,0.990589946364732
2024-05-03,0.9379736119552563
2024-05-06,0.9137268046876995
2024-05-07,0.9337026989966972
2024-05-08,1.0165307332447562
2024-05-09,0.9674655328373425
2024-05-10,0.9845089700483242
2024-05-13,0.9450109432143802
2024-05-14,0.8974416927880787
2024-05-15,0.8554947917465854
2024-05-16,0.8677536599436874
2024-05-17,0.8641152340238244
2024-05-20,0.8276517286628772
2024-05-21,0.8018601080835448
2024-05-22,0.774930773596316
2024-05-23,0.7517715031650225
2024-05-24,0.7268042546963176
2024-05-27,0.7049114409946027
2024-05-28,0.7037858835137808
2024-05-29,0.7100350477546806
2024-05-30,0.7977699192580598
2024-05-31,0.7673232992496078
2024-06-03,0.7399195335045087
2024-06-04,0.7474065796743675
2024-06-05,0.8239985587651338
2024-06-06,0.856266845891376
2024-06-07,0.83074281111587
2024-06-10,0.8158721216544922
2024-06-11,0.7908442546887144
2024-06-12,0.7983064044462692
2024-06-13,0.9212386378018531
2024-06-14,1.1340667549556116
2024-06-17,1.1865054089844178
2024-06-18,1.1134310266495213
2024-06-19,1.0495874885073995
2024-06-20,0.9940439079808415
2024-06-21,1.0081905805162978
2024-06-24,0.9673683039737516
2024-06-25,0.9689220229491518
2024-06-26,0.9611960367562004
2024-06-27,0.9092186533545874
2024-06-28,0.8694868886615729
2024-07-01,0.8300533419678354
2024-07-02,0.8009662340770444
2024-07-03,0.8084816492416205
2024-07-04,0.8813764671423485
2024-07-05,0.8509651979654886
2024-07-08,0.8121847492259491
2024-07-09,0.7782404671640065
2024-07-10,0.8837156235106977
2024-07-11,0.9066543482485153
2024-07-12,0.8957760561511421
2024-07-15,0.9481513831744685
2024-07-16,0.9476845312378084
2024-07-17,0.9072191907303317
2024-07-18,0.8751125342941488
2024-07-19,0.8483324688104409
2024-07-22,0.8881347136921215
2024-07-23,0.9663702240146617
2024-07-24,0.9596630915830783
2024-07-25,0.9669389245169495
2024-07-26,0.9293186340847158
2024-07-29,0.910831985134209
2024-07-30,0.8846704665064865
2024-07-31,0.8595811314974763
2024-08-01,0.8412259113263186
2024-08-02,1.171235850135811
2024-08-05,1.4015984622838396
2024-08-06,1.465809838228817
2024-08-07,1.3508265645252553
2024-08-08,1.3667353168486758
2024-08-09,1.2716207629793508
2024-08-12,1.18379386444158
2024-08-13,1.1031740187888173
2024-08-14,1.0470323128388292
2024-08-15,0.9940177644222565
2024-08-16,1.1154154826165443
2024-08-19,1.0799907849913006
2024-08-20,1.031198722822937
2024-08-21,0.9774299012854801
2024-08-22,0.939498338169429
2024-08-23,0.8925845141256122
2024-08-26,0.8911602592510506
2024-08-27,0.8464936401251589
2024-08-28,0.8170734329004803
2024-08-29,0.80603478313228
2024-08-30,0.8128980414571537
2024-09-02,0.7778180235205099
2024-09-03,0.7491646815778199
2024-09-04,0.8082233044871313
2024-09-05,0.8331610660822295
2024-09-06,0.7960677306349406
2024-09-09,0.9417388762826888
2024-09-10,0.9339315459331894
2024-09-11,0.9524948439951637
2024-09-12,0.9080762587604597
2024-09-13,0.939284897380612
2024-09-16,0.9577044818227205
2024-09-17,0.912681618854061
2024-09-18,0.8836165463992198
2024-09-19,0.8390325564969886
2024-09-20,0.9840053012611167
2024-09-23,1.0805553103258165
2024-09-24,1.0408145957750756
2024-09-25,1.0187491118851284
2024-09-26,0.9688199169463214
2024-09-27,1.104826972142987
2024-09-30,1.1259851429904393
2024-10-01,1.0878023624914397
2024-10-02,1.0392040822414974
2024-10-03,0.9788109465002482
2024-10-04,0.9658548462382555
2024-10-07,0.9327939983096405
2024-10-08,0.8818437096766761
2024-10-09,0.8398872410491504
2024-10-10,0.8802250956491507
2024-10-11,0.839731458012856
2024-10-14,0.8594961886709495
2024-10-15,0.8567173830372341
2024-10-16,0.8162546610809557
2024-10-17,0.7866350004120757
2024-10-18,0.8073112278209834
2024-10-21,0.7846984536080446
2024-10-22,0.8400580148210325
2024-10-23,0.8036553355363714
2024-10-24,0.7734715140019665
2024-10-25,0.753203901698951
2024-10-28,0.7263054952528151
2024-10-29,0.7144554566982224
2024-10-30,0.6995211634033643
2024-10-31,0.8012624981766125
2024-11-01,0.8439630045515532
2024-11-04,0.874159115218062
2024-11-05,0.8549732625910097
2024-11-06,0.8396655623326345
2024-11-07,0.9051998856990602
2024-11-08,1.0632079512918513
2024-11-11,1.0323659081629633
2024-11-12,1.066325194105393
2024-11-13,1.2857988903137367
2024-11-14,1.1885037055833516
2024-11-15,1.2153448598571615
2024-11-18,1.1308196878794017
2024-11-19,1.0530386721075182
2024-11-20,1.0161004383262813
2024-11-21,0.9576461144229598
2024-11-22,0.9431216175227621
