,ret,VaR_GJR_1%,VaR_GJR_5%,VaR_GARCH_1%,VaR_GARCH_5%
2023-09-15,0.5567428783243866,-1.7890736044421336,-1.264971692319704,-1.863751863196633,-1.317773255721912
2023-09-18,-1.0525507256928552,-1.756749175085404,-1.2421165744502518,-1.8630996412963943,-1.3173120996024184
2023-09-19,-0.3990859364067893,-2.100294522537545,-1.4850216949976003,-2.0127309920534633,-1.4231095483609748
2023-09-20,0.744830214040099,-2.0613084093153304,-1.4574564067404687,-1.957583536161876,-1.3841173177265849
2023-09-21,-1.3378599108415867,-1.9889150907119035,-1.4062704194680384,-1.9845866363184466,-1.4032099683688632
2023-09-22,-0.0936120220512701,-2.450121723773759,-1.7323684255449023,-2.219366513279644,-1.5692120252684871
2023-09-25,-0.9805386957205736,-2.309769089281259,-1.633131530464296,-2.1054617094592323,-1.4886751753064202
2023-09-26,-0.9759599905361404,-2.456803116011618,-1.7370925308165868,-2.173593836821106,-1.5368482701619364
2023-09-27,-0.25215461812357,-2.566406176264909,-1.8145878156767399,-2.225550726229005,-1.573584597923293
2023-09-28,0.6944789225067006,-2.4262380213887846,-1.7154813576513477,-2.121020225388539,-1.4996758866109812
2023-09-29,0.4108108261458599,-2.29833144075547,-1.6250444950422196,-2.104707218412236,-1.4881417093751197
2023-10-02,-0.9099173076763926,-2.180611406943792,-1.5418100713600675,-2.036675626102983,-1.440039698233172
2023-10-03,-1.068174189590285,-2.3193251019433405,-1.6398881476761131,-2.096351881219222,-1.4822340345859404
2023-10-04,0.0974649581371627,-2.507640479230462,-1.7730372930803306,-2.1960423631866526,-1.5527205910749506
2023-10-05,-0.1968847691965825,-2.3598454228851393,-1.668538203675943,-2.086764884434457,-1.4754555099254811
2023-10-06,1.0531441313921008,-2.243698904417007,-1.586416340350209,-1.9982497060543707,-1.4128704968139876
2023-10-09,-0.6697408387907724,-2.1562962213205585,-1.5246179215063558,-2.1141125214290484,-1.494791766725704
2023-10-10,1.9338960806318537,-2.1937936743475848,-1.5511306465812231,-2.092569167827762,-1.4795594518586146
2023-10-11,0.2363088169419606,-2.1672715869841532,-1.5323780979702157,-2.5891195470529573,-1.8306473959045757
2023-10-12,-0.2265142418434755,-2.0689002954296147,-1.4628242803718499,-2.433315538097816,-1.7204855443246154
2023-10-13,-1.5574111193234097,-2.000597638151657,-1.4145306116528522,-2.298836890204708,-1.6254018751095332
2023-10-16,0.337424595961899,-2.6148173242417903,-1.8488171126891177,-2.5460369628702684,-1.8001856813681996
2023-10-17,0.0898677581145981,-2.4540793721497436,-1.735166696757079,-2.405629260676197,-1.7009098504475717
2023-10-18,-1.0332733505565326,-2.3149439918664156,-1.6367904661640245,-2.2684326058747275,-1.6039044035090522
2023-10-19,-0.3296582660916618,-2.486813581631245,-1.7583115513129508,-2.3204838296764736,-1.640707430783236
2023-10-20,-1.6537250021769485,-2.3718746159729385,-1.6770434930613167,-2.211315367135793,-1.5635194299848643
2023-10-23,0.0152031190441692,-2.927858037213545,-2.070153808658272,-2.5259870416139263,-1.7860093038510652
2023-10-24,0.5338216254913195,-2.7235757180951543,-1.9257151727717612,-2.3716686447013022,-1.6768978602447553
2023-10-25,0.0822195964130725,-2.5524296549347665,-1.8047056600204074,-2.283556743801821,-1.614597986098952
2023-10-26,-1.0878724208663224,-2.4005125460237067,-1.6972920567598178,-2.1632057520098384,-1.5295033329882826
2023-10-27,-0.2966822906791264,-2.5801802755644068,-1.824326848021638,-2.2553863788585278,-1.5946800161914523
2023-10-30,0.1981359113235535,-2.4467596798896754,-1.7299912788857918,-2.1520267730538243,-1.5215991909265563
2023-10-31,0.6353540949674668,-2.3089069582709603,-1.6325219572637348,-2.054590760281709,-1.4527066659554217
2023-11-01,0.759613332444547,-2.1995011963879008,-1.5551661730103001,-2.0378515266021267,-1.4408711234136162
2023-11-02,1.4656266410818382,-2.10776796306639,-1.4903058212011007,-2.054258443567051,-1.4524717000848821
2023-11-03,0.3009966137605249,-2.0656182281643862,-1.4605036815029744,-2.3260718775244076,-1.6446584825037542
2023-11-06,-0.351392858762129,-1.9846846221774317,-1.403279249664812,-2.213379554743343,-1.5649789221403045
2023-11-07,0.1100738786106285,-1.954322191890589,-1.3818113711339775,-2.122537943629767,-1.5007489954016444
2023-11-08,0.5066125961720225,-1.8884314828702744,-1.3352230801376646,-2.025704817308088,-1.4322827437216656
2023-11-09,0.8040058240867269,-1.8383426482259724,-1.2998075680150756,-1.9871593261019986,-1.4050289990343614
2023-11-10,-0.7725586025069316,-1.8065376910872104,-1.277319745068003,-2.025773979325266,-1.4323316450042605
2023-11-13,0.7234338895524853,-1.9687414651693766,-1.3920065763374971,-2.047987015755948,-1.4480374618110772
2023-11-14,1.740577862138782,-1.9119469299916438,-1.3518497716650086,-2.052969294669669,-1.4515602021686846
2023-11-15,0.8528696390834213,-1.9246260726722955,-1.3608146105257934,-2.461287738047582,-1.740263400875908
2023-11-16,0.24379715599134,-1.882331816629475,-1.3309102865734135,-2.424932891743689,-1.714558560483163
2023-11-17,0.8361290376463646,-1.8281122988628098,-1.2925741583248258,-2.29249718015486,-1.6209193576040148
2023-11-20,-0.1120666580541593,-1.7994757063826523,-1.2723265403610082,-2.2830915660947215,-1.6142690803289952
2023-11-21,-0.0050299239027282,-1.7623660056899768,-1.2460879771346902,-2.1631975870769296,-1.5294975599396088
2023-11-22,0.3596551595645857,-1.726696831913879,-1.2208679442622778,-2.0579606146371487,-1.4550893350397387
2023-11-23,0.2310311494073794,-1.700288104124295,-1.202195546994186,-1.9909952120796353,-1.4077411776527415
2023-11-24,0.2170843100155807,-1.6761430975191534,-1.185123722900118,-1.919986086896412,-1.3575338899088858
2023-11-27,-0.3945522850599633,-1.6554166094978469,-1.1704689761289073,-1.8580553097558545,-1.313745484685282
2023-11-28,0.1645844843406254,-1.6983301218997213,-1.2008111477822132,-1.8272458218254812,-1.2919615122483623
2023-11-29,1.0807631821599466,-1.6724585055677994,-1.1825185173319182,-1.7750729271530554,-1.2550724570953882
2023-11-30,0.302511958645477,-1.684452440405989,-1.190998877230005,-1.9599001866075072,-1.385755314747751
2023-12-01,1.1166836505028106,-1.6637910361850134,-1.1763901482217547,-1.900064538924516,-1.3434482792391698
2023-12-04,0.0441447036472812,-1.6815084508790437,-1.1889173175866092,-2.0674108842160273,-1.461771186179004
2023-12-05,0.7793476771123728,-1.6587175369188396,-1.1728029101468205,-1.9746800780399287,-1.39620549646814
2023-12-06,0.7431896493775858,-1.657751166093497,-1.1721196337655095,-2.0094024426771195,-1.4207560841283637
2023-12-07,-0.1649323756979799,-1.6555380393034125,-1.1705548335616385,-2.027176089496482,-1.4333230126437462
2023-12-08,0.7801024705102276,-1.6478339337775438,-1.165107614743659,-1.945043180236889,-1.3752506085999534
2023-12-11,0.2098668662753746,-1.648668019580999,-1.1656973584678507,-1.985140850859693,-1.4036018279907414
2023-12-12,-0.0160152416128724,-1.632194038314673,-1.1540493637123719,-1.9124226784971057,-1.3521861515604912
2023-12-13,-0.1531057758321442,-1.617076535021489,-1.1433604721670794,-1.842065165227537,-1.3024395886426596
2023-12-14,-0.0824643315097979,-1.613845737836149,-1.1410761240145304,-1.7867760437374731,-1.2633471927767197
2023-12-15,-0.004721964053434,-1.6037571362970058,-1.1339429376937313,-1.736147291440432,-1.227549929704811
2023-12-18,-0.6040896244381847,-1.5920605202365656,-1.1256727982340402,-1.6913594113689663,-1.1958824788471476
2023-12-19,0.5621184724288284,-1.7287021336549013,-1.2222858009287976,-1.7326402816735482,-1.2250702843348373
2023-12-20,-0.0678628254225011,-1.7036689203337845,-1.2045859667015257,-1.7552821657699371,-1.2410793196096308
2023-12-21,-0.2730714844525453,-1.6754591561252612,-1.1846401393849784,-1.7074288675787126,-1.2072444525333217
2023-12-22,0.1123554682210487,-1.679278078766186,-1.1873403240078662,-1.6816110222802008,-1.188989841108606
2023-12-27,0.2146039854072149,-1.6527372836219383,-1.1685745479851415,-1.6458336135767233,-1.1636932802951876
2023-12-28,-0.2423155732024419,-1.6313107988189306,-1.1534248656722248,-1.6230100614263114,-1.147555795891657
2023-12-29,0.2994624971626512,-1.6356537186124964,-1.1564955445907643,-1.6060997325289825,-1.1355992797875545
2024-01-02,0.1057173213820018,-1.617355999841543,-1.1435580688928313,-1.5990014869216256,-1.1305804366633003
2024-01-03,-1.3868991583284898,-1.5990912589127806,-1.1306439103109422,-1.574213873783778,-1.1130542550340505
2024-01-04,0.4759280290394104,-2.247671772884365,-1.5892253729892458,-1.9584301327330724,-1.3847159072394586
2024-01-05,-0.1389767322435139,-2.12830621072686,-1.5048274718675902,-1.9195498600582304,-1.3572254539673125
2024-01-08,0.7340607192363031,-2.038957961585224,-1.4416534327213693,-1.8477023551984433,-1.3064253864990025
2024-01-09,-0.168307006473176,-1.9699763375843453,-1.3928796978483637,-1.889779192157379,-1.3361759834130975
2024-01-10,0.0086953351805129,-1.9072929329691146,-1.3485591443397706,-1.8251375040637088,-1.2904708176897735
2024-01-11,-0.859179928062285,-1.843269461216536,-1.3032910909684865,-1.7647204603585134,-1.2477527037838083
2024-01-12,0.9475181747553496,-2.038589358079261,-1.4413928101289977,-1.861952751910742,-1.3165011868465262
2024-01-15,-0.4941371965947412,-1.973670751948163,-1.3954918483928271,-1.9687089073222803,-1.3919835561806757
